  ra              dec             W(C18O)       AV               AV_sig          AV_n   N(C18O)           N(H2)              X(C18O)              W(N2H)         
  64.1757649521   27.8196944444   0.14831       1.72119589225    1.5002199349    15.0   1.47034534E14     1.61792413871E21   9.08785093701E-8     0.1922237      
  64.1757649521   27.8301111111   -0.022913     1.90127698262    1.49055699051   18.0   -2.27159482E13    1.78720036366E21   -1.27103533895E-8    -0.1132479     
  64.1757649521   27.8405277778   -0.0535106    2.11603881748    1.49191882596   18.0   -5.305040884E13   1.98907648843E21   -2.66708742216E-8    0.104744       
  64.1757649521   27.8509444444   -0.0290829    2.36255056289    1.50127549123   14.0   -2.883278706E13   2.22079752912E21   -1.29830777826E-8    0.1943669      
  64.1757649521   27.8613611111   0.16462       2.45751978938    1.52022680986   15.0   1.63204268E14     2.31006860202E21   7.06491001425E-8     0.0148186      
  64.1757649521   27.8717777778   0.0711291     2.44882195766    1.52605041366   14.0   7.051738974E13    2.3018926402E21    3.06345259152E-8     0.03955673     
  64.1757649521   27.8821944444   0.0257909     2.41671025829    1.51958833397   15.0   2.556909826E13    2.27170764279E21   1.12554528489E-8     0.0187872      
  64.1757649521   28.1946944444   0.51617       3.05572065626    1.5239784817    21.0   5.11730938E14     2.87237741688E21   1.7815588404E-7      0.4088592      
  64.1757649521   28.2051111111   0.34478       2.89591162998    1.53491074527   20.0   3.41814892E14     2.72215693219E21   1.25567665831E-7     0.1631835      
  64.1757649521   28.2155277778   0.39066       2.89780097063    1.53576361389   18.0   3.87300324E14     2.72393291239E21   1.42184237445E-7     -0.1911145     
  64.1757649521   28.2259444444   0.9224        3.21936261984    1.53769531413   21.0   9.1446736E14      3.02620086265E21   3.02183298963E-7     0.01698354     
  64.1757649521   28.2363611111   0.91336       3.63086061535    1.52888250608   20.0   9.05505104E14     3.41300897843E21   2.65309909737E-7     -0.0073334     
  64.1757649521   28.2467777778   0.50853       4.06621724034    1.51830294548   15.0   5.04156642E14     3.82224420592E21   1.31900688402E-7     0.01473834     
  64.1757649521   28.2571944444   0.79982       4.30970305864    1.51637781599   16.0   7.92941548E14     4.05112087512E21   1.95733865378E-7     0.1762653      
  64.1757649521   28.2676111111   0.99836       4.47050304341    1.52363483409   11.0   9.89774104E14     4.20227286081E21   2.3553304052E-7      0.07313607     
  64.1757649521   28.2780277778   1.1995        4.69564963862    1.54858213738   12.0   1.1891843E15      4.4139106603E21    2.69417392313E-7     -0.0310931     
  64.1757649521   28.2884444444   1.3967        4.88843517386    1.58547492509   14.0   1.38468838E15     4.59512906343E21   3.01338299945E-7     -0.10744654    
  64.1757649521   28.2988611111   0.99973       5.10580276387    1.63199017109   13.0   9.91132322E14     4.79945459804E21   2.06509365128E-7     -0.0337659     
  64.1757649521   28.3092777778   0.84035       5.14895820997    1.65577407453   11.0   8.3312299E14      4.84002071737E21   1.72132112371E-7     -0.01826487    
  64.1757649521   28.3196944444   0.80163       4.7144916758     1.63457538943   12.0   7.94735982E14     4.43162217525E21   1.79332973474E-7     -0.0214783     
  64.1757649521   28.3301111111   0.56756       4.18928658705    1.59921792063   12.0   5.62678984E14     3.93792939183E21   1.42887017011E-7     -0.04186341    
  64.1757649521   28.3405277778   0.35238       3.4427297354     1.54144010339   12.0   3.49349532E14     3.23616595128E21   1.07951674067E-7     -0.0995942     
  64.1757649521   28.3509444444   0.59988       2.84419020409    1.49679437899   15.0   5.94721032E14     2.67353879185E21   2.22447130303E-7     -0.2014176     
  64.1757649521   28.3613611111   0.27482       2.34714187798    1.46526921391   16.0   2.72456548E14     2.2063133653E21    1.23489506198E-7     -0.0108131     
  64.1757649521   28.3717777778   0.11123       2.38085386825    1.45483255156   19.0   1.10273422E14     2.23800263615E21   4.92731421396E-8     0.0029096      
  64.1757649521   28.3821944444   0.10426       2.52353559301    1.45403168416   19.0   1.03363364E14     2.37212345743E21   4.35741924292E-8     0.056097       
  64.1757649521   28.3926111111   0.20406       2.73141656093    1.46108957601   19.0   2.02305084E14     2.56753156727E21   7.87936111785E-8     -0.0592505     
  64.1757649521   28.4030277778   0.34951       2.95571948222    1.46729172492   18.0   3.46504214E14     2.77837631329E21   1.24714644428E-7     0.093813       
  64.1757649521   28.4134444444   0.14374       3.07327694512    1.46905015925   20.0   1.42503836E14     2.88888032842E21   4.9328397095E-8      0.26903494     
  64.1757649521   28.4238611111   0.24104       3.13562305751    1.47648410815   23.0   2.38967056E14     2.94748567406E21   8.10748829427E-8     -0.2161342     
  64.1757649521   28.4342777778   0.33013       3.06230741577    1.48357581608   20.0   3.27290882E14     2.87856897083E21   1.13699162784E-7     -0.3255383     
  64.1757649521   28.4446944444   0.25657       2.93174780383    1.49086685264   19.0   2.54363498E14     2.7558429356E21    9.22997079093E-8     0.0240968      
  64.1757649521   28.4551111111   0.29706       2.84969635158    1.50236250073   14.0   2.94505284E14     2.67871457048E21   1.09942764057E-7     0.0896926      
  64.1757649521   28.4655277778   0.53852       2.84046465645    1.50090983357   14.0   5.33888728E14     2.67003677706E21   1.99955570869E-7     -0.0766343     
  64.1757649521   28.4759444444   0.38643       2.83261925488    1.48575561874   16.0   3.83106702E14     2.66266209959E21   1.4388108129E-7      -0.1644918     
  64.1757649521   28.4863611111   0.43173       2.79459703173    1.46391752866   16.0   4.28017122E14     2.62692120983E21   1.62934891385E-7     -0.13193053    
  64.1757649521   28.4967777778   0.30644       2.75868237325    1.44157952771   16.0   3.03804616E14     2.59316143085E21   1.17156075355E-7     0.1158616      
  64.1757649521   28.5071944444   0.20753       2.70381054987    1.4190432403    13.0   2.05745242E14     2.54158191687E21   8.09516469385E-8     0.3879615      
  64.1757649521   28.5176111111   0.34892       2.82299595172    1.43551834752   17.0   3.45919288E14     2.65361619461E21   1.30357694041E-7     0.3129152      
  64.1757649521   28.5280277778   0.24787       2.9302578198     1.44754177993   17.0   2.45738318E14     2.75444235061E21   8.92152699968E-8     0.0985281      
  64.1757649521   28.5384444444   0.0188716     2.92309387105    1.4689120307    17.0   1.870930424E13    2.74770823879E21   6.80905780893E-9     -0.0639977     
  64.1757649521   28.5488611111   -0.12836      3.01512930297    1.48410498107   20.0   -1.27256104E14    2.83422154479E21   -4.48998435687E-8    -0.0769495     
  64.1875215484   27.6946944444   0.0291165     1.42386305798    1.53437136807   23.0   2.88660981E13     1.3384312745E21    2.15671126713E-8     -0.0055532     
  64.1875215484   27.7051111111   0.0388453     1.26407817021    1.53679717968   24.0   3.851123042E13    1.18823348E21      3.24104909247E-8     -0.0775165     
  64.1875215484   27.7155277778   0.0347176     1.19992357132    1.53631174596   26.0   3.441902864E13    1.12792815704E21   3.05152667971E-8     -0.265409      
  64.1875215484   27.7259444444   0.0448626     1.13594757881    1.53857668462   22.0   4.447678164E13    1.06779072409E21   4.16530886032E-8     -0.2885454     
  64.1875215484   27.7363611111   0.13189       1.15311935799    1.54097293066   25.0   1.30755746E14     1.08393219651E21   1.20630927304E-7     -0.2483751     
  64.1875215484   27.7467777778   0.0673815     1.20765512784    1.54259345942   20.0   6.68020191E13     1.13519582017E21   5.88462518213E-8     -0.2068007     
  64.1875215484   27.7571944444   -0.1218       1.35435485593    1.54396579063   21.0   -1.2075252E14     1.27309356457E21   -9.48496821916E-8    -0.10120029    
  64.1875215484   27.7676111111   -0.19085      1.45451420194    1.55558022176   22.0   -1.8920869E14     1.36724334982E21   -1.38386988699E-7    -0.2236173     
  64.1875215484   27.7780277778   -0.0389133    1.55031587319    1.553214879     18.0   -3.857864562E13   1.4572969208E21    -2.64727421498E-8    0.03866        
  64.1875215484   27.7884444444   0.11181       1.53535712359    1.54596384938   18.0   1.10848434E14     1.44323569617E21   7.68054963538E-8     0.2054209      
  64.1875215484   27.7988611111   0.0333183     1.47480536889    1.53484884424   15.0   3.303176262E13    1.38631704676E21   2.38269901516E-8     0.01248115     
  64.1875215484   27.8092777778   0.13215       1.48820523776    1.5197594956    17.0   1.3101351E14      1.3989129235E21    9.36537991745E-8     0.17952823     
  64.1875215484   27.8196944444   0.24158       1.55782029029    1.50199745729   14.0   2.39502412E14     1.46435107287E21   1.63555322516E-7     0.14698089     
  64.1875215484   27.8301111111   0.0901866     1.75186859932    1.49688622271   17.0   8.941099524E13    1.64675648336E21   5.42952137388E-8     -0.12262036    
  64.1875215484   27.8405277778   -0.0220316    1.9872276469     1.50100319065   16.0   -2.184212824E13   1.86799398809E21   -1.16928257689E-8    0.061091       
  64.1875215484   27.8509444444   0.19213       2.20767848169    1.51382480524   12.0   1.90477682E14     2.07521777279E21   9.17868401562E-8     0.1277528      
  64.1875215484   27.8613611111   0.38025       2.18391913554    1.52841227486   15.0   3.7697985E14      2.0528839874E21    1.8363426882E-7      5.708E-4       
  64.1875215484   27.8717777778   0.18401       2.11600577304    1.53323315988   14.0   1.82427514E14     1.98904542666E21   9.171611244E-8       0.0331296      
  64.1875215484   27.8821944444   0.0483928     2.03328210948    1.52258433042   15.0   4.797662192E13    1.91128518291E21   2.51017599828E-8     0.0539292      
  64.1875215484   28.1946944444   0.51608       3.04818919247    1.52715614636   19.0   5.11641712E14     2.86529784093E21   1.78564931258E-7     -0.1966408     
  64.1875215484   28.2051111111   0.3489        2.91554915729    1.54234214935   17.0   3.4589946E14      2.74061620785E21   1.26212294523E-7     -0.19022       
  64.1875215484   28.2155277778   0.27818       3.00427408338    1.54455626232   15.0   2.75787652E14     2.82401763838E21   9.76579070372E-8     -0.0856567     
  64.1875215484   28.2259444444   0.53789       3.38928773459    1.54254371918   17.0   5.33264146E14     3.18593047051E21   1.67380974235E-7     0.0926284      
  64.1875215484   28.2363611111   0.77679       3.91231274843    1.52398281341   17.0   7.70109606E14     3.67757398353E21   2.09406964877E-7     0.06652065     
  64.1875215484   28.2467777778   0.94897       4.38838757328    1.49901896089   12.0   9.40808858E14     4.12508431888E21   2.28070212697E-7     0.1495443      
  64.1875215484   28.2571944444   1.1221        4.52451743095    1.48983410806   13.0   1.11244994E15     4.2530463851E21    2.6156543787E-7      0.07351891     
  64.1875215484   28.2676111111   0.89834       4.53483997755    1.4959109638    10.0   8.90614276E14     4.2627495789E21    2.0892953234E-7      0.1367585      
  64.1875215484   28.2780277778   0.983         4.67953820072    1.52921812434   10.0   9.745462E14       4.39876590868E21   2.21549912005E-7     -0.0744118     
  64.1875215484   28.2884444444   1.2016        4.81317797368    1.57746169216   13.0   1.19126624E15     4.52438729526E21   2.6329890928E-7      -0.3788258     
  64.1875215484   28.2988611111   0.92538       5.0395787765     1.63882469983   13.0   9.17421732E14     4.73720404991E21   1.93663123297E-7     -0.2708611     
  64.1875215484   28.3092777778   0.87088       5.04706338843    1.66148058312   12.0   8.63390432E14     4.74423958512E21   1.81987105944E-7     -0.07657569    
  64.1875215484   28.3196944444   1.0715        4.75244341719    1.64821423282   11.0   1.0622851E15      4.46729681216E21   2.37791475397E-7     -0.0517709     
  64.1875215484   28.3301111111   0.78467       4.39672474718    1.62263642086   11.0   7.77921838E14     4.13292126235E21   1.88225661371E-7     0.028217       
  64.1875215484   28.3405277778   0.61436       3.81872879402    1.57374633251   11.0   6.09076504E14     3.58960506637E21   1.69677859469E-7     0.1355454      
  64.1875215484   28.3509444444   0.83731       3.30606581675    1.52832246641   14.0   8.30109134E14     3.10770186774E21   2.67113503588E-7     0.01244487     
